Genus,Family,C_value,tavg,perc_ag,perc_per,HybProp,Hyb_Ratio
Abies,Pinaceae,17.23266667,0.8674,0.004761905,1.0,0.362318841,0.041666667
Abronia,Nyctaginaceae,1.687142857,0.7295,0.005063291,0.6875,4.166666667,0.3125
Abutilon,Malvaceae,1.245,0.057,0.006153846,0.763157895,0.0,0.0
Acacia,Fabaceae,1.186321839,0.807875,0.096494845,1.0,0.208188758,0.136363636
Acaena,Rosaceae,0.33,0.7295,0.001060071,1.0,8.888888889,0.4
Acalypha,Euphorbiaceae,1.687142857,0.7295,0.01239531,0.0,0.0,0.0
Acamptopappus,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Acanthomintha,Lamiaceae,1.687142857,0.7295,0.004320557,0.0,0.0,0.0
Acanthopanax,Araliaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Acanthospermum,Asteraceae,1.687142857,0.7295,0.00210989,0.0,0.0,0.0
Acanthus,Acanthaceae,1.687142857,0.7295,0.000857143,1.0,0.0,0.0
Acer,Sapindaceae,0.908181818,0.945,0.001265823,1.0,0.185013876,0.042553191
Achillea,Asteraceae,4.137692308,0.7295,0.00210989,1.0,0.790960452,0.233333333
Achlys,Berberidaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Achnatherum,Poaceae,1.687142857,0.7295,0.074314214,1.0,2.857142857,0.2
Achyranthes,Amaranthaceae,1.687142857,0.7295,0.041463415,0.916666667,0.0,0.0
Acianthus,Orchidaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Acinos,Lamiaceae,1.687142857,0.7295,0.004320557,0.8,60.0,1.2
Aciphylla,Apiaceae,1.687142857,0.7295,0.003968254,1.0,0.0,0.0
Aconitum,Ranunculaceae,5.44,0.884,0.0,1.0,0.653594771,0.055555556
Acorus,Acoraceae,0.525,0.7295,0.0,1.0,0.0,0.0
Acrotriche,Ericaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Actaea,Ranunculaceae,1.687142857,0.7295,0.0,1.0,16.66666667,0.25
Actinotus,Apiaceae,1.687142857,0.7295,0.003968254,0.5,0.0,0.0
Adenocarpus,Fabaceae,0.875,0.7295,0.096494845,1.0,0.0,0.0
Adenophora,Campanulaceae,4.72,0.7295,0.0,1.0,0.0,0.0
Adenophorus,Polypodiaceae,1.687142857,0.7295,0.0,1.0,6.666666667,0.3
Adenophyllum,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Adenostoma,Rosaceae,1.687142857,0.7295,0.001060071,1.0,0.0,0.0
Adenostyles,Asteraceae,1.687142857,0.7295,0.00210989,1.0,33.33333333,0.333333333
Adiantum,Pteridaceae,5.13,0.7295,0.0,1.0,0.526315789,0.05
Adonis,Ranunculaceae,15.5,0.7295,0.0,0.6,2.222222222,0.1
Adriana,Euphorbiaceae,1.687142857,0.7295,0.01239531,1.0,0.0,0.0
Aegilops,Poaceae,8.908615385,0.7295,0.074314214,0.0,0.952380952,0.066666667
Aeluropus,Poaceae,8.4,0.7295,0.074314214,1.0,0.0,0.0
Aeonium,Crassulaceae,0.937333333,0.7295,0.0,1.0,0.0,0.0
Aesculus,Sapindaceae,0.365,0.7295,0.001265823,1.0,0.0,0.0
Aethionema,Brassicaceae,0.71,0.7295,0.00485306,0.9,0.0,0.0
Agalinis,Orobanchaceae,1.687142857,0.469,0.0,0.0,0.0,0.0
Agalinus,Orobanchaceae,1.687142857,0.7295,0.0,0.0,0.0,0.0
Agastache,Lamiaceae,1.687142857,0.7295,0.004320557,1.0,0.0,0.0
Agave,Asparagaceae,6.470684932,0.7295,0.0,1.0,0.0,0.0
Ageratina,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Ageratum,Asteraceae,1.687142857,0.7295,0.00210989,0.5,0.0,0.0
Agoseris,Asteraceae,2.4625,0.7295,0.00210989,0.833333333,3.03030303,0.166666667
Agrimonia,Rosaceae,1.687142857,0.7295,0.001060071,1.0,0.653594771,0.055555556
Agropyron,Poaceae,9.37,0.7295,0.074314214,1.0,5.627705628,0.590909091
Agrostemma,Caryophyllaceae,2.1,0.7295,0.001818182,0.0,0.0,0.0
Agrostis,Poaceae,5.437586207,0.7295,0.074314214,0.808411215,0.293040293,0.152380952
Aichryson,Crassulaceae,0.685,0.7295,0.0,0.0,0.0,0.0
Aira,Poaceae,4.3275,0.7295,0.074314214,0.0,0.0,0.0
Ajuga,Lamiaceae,1.687142857,0.7295,0.004320557,0.866666667,3.80952381,0.266666667
Albizia,Fabaceae,1.215,0.951,0.096494845,1.0,0.0,0.0
Alcea,Malvaceae,1.687142857,0.7295,0.006153846,1.0,0.0,0.0
Alchemilla,Rosaceae,1.687142857,0.7295,0.001060071,1.0,0.012986001,0.017985612
Alectryon,Sapindaceae,1.687142857,0.7295,0.001265823,1.0,0.0,0.0
Alhagi,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Alisma,Alismataceae,12.7125,0.7295,0.0,0.925,0.526315789,0.05
Alkanna,Boraginaceae,1.687142857,0.7295,0.001824818,0.941176471,0.0,0.0
Allium,Amaryllidaceae,19.9175,0.91,0.0,1.0,0.0,0.0
Allocasuarina,Casuarinaceae,0.95,0.7295,0.094736842,1.0,1.818181818,0.090909091
Allophyllum,Polemoniaceae,1.687142857,0.7295,0.0,0.0,0.0,0.0
Almaleea,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Alnus,Betulaceae,0.642,0.913666667,0.054545455,1.0,0.865800866,0.090909091
Aloe,Xanthorrhoeaceae,16.91779817,0.7295,0.0,1.0,0.0,0.0
Alopecurus,Poaceae,8.914,0.7295,0.074314214,0.647727273,0.634249471,0.136363636
Alsinidendron,Caryophyllaceae,0.833333333,0.0,0.001818182,1.0,0.0,0.0
Alternanthera,Amaranthaceae,1.687142857,0.7295,0.041463415,0.821428571,0.0,0.0
Althaea,Malvaceae,1.687142857,0.7295,0.006153846,0.611111111,0.0,0.0
Alyssoides,Brassicaceae,1.687142857,0.7295,0.00485306,1.0,0.0,0.0
Alyssum,Brassicaceae,0.58,0.7295,0.00485306,0.675324675,0.0,0.0
Amaranthus,Amaranthaceae,0.735263158,0.199,0.041463415,0.04368932,0.380734818,0.194174757
Ambrosia,Asteraceae,2.375,0.95,0.00210989,0.547619048,0.158562368,0.034090909
Amelanchier,Rosaceae,1.1175,0.7295,0.001060071,1.0,1.169590643,0.105263158
Ammannia,Lythraceae,1.687142857,0.7295,0.0,0.0,0.0,0.0
Ammi,Apiaceae,1.687142857,0.7295,0.003968254,0.0,0.0,0.0
Ammophila,Poaceae,4.815,0.7295,0.074314214,1.0,5.0,0.1
Amorpha,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Amphibromus,Poaceae,3.99,0.7295,0.074314214,1.0,0.0,0.0
Amphicarpum,Poaceae,1.687142857,0.7295,0.074314214,0.5,0.0,0.0
Amphipogon,Poaceae,1.687142857,0.7295,0.074314214,1.0,0.0,0.0
Amsinckia,Boraginaceae,1.133333333,0.33825,0.001824818,0.0,0.246305419,0.034482759
